"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","7","","com.branchteller.service.AmlIntegrationTest","","com.branchteller.service.AmlIntegrationTest","all_respectsLimitParameter","all_respectsLimitParameter()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.ApprovalServiceTest","","com.branchteller.service.ApprovalServiceTest","managerWithHigherLimit_notTriggeredByTellerScaleAmount","managerWithHigherLimit_notTriggeredByTellerScaleAmount()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","transferBetweenAccounts_bothBalancesUpdateAtomically","transferBetweenAccounts_bothBalancesUpdateAtomically()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","81","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","interestAccrual_isIdempotentAcrossTwoRunsOfTheSamePeriod","interestAccrual_isIdempotentAcrossTwoRunsOfTheSamePeriod()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","largeBalance_doesNotOverflowOrLosePrecision","largeBalance_doesNotOverflowOrLosePrecision()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","47","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","withdraw_insufficientFunds_returns422","withdraw_insufficientFunds_returns422()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","15","","com.branchteller.dao.GlDaoIntegrationTest","","com.branchteller.dao.GlDaoIntegrationTest","trialBalance_withDateFilter_excludesEntriesOutsideRange","trialBalance_withDateFilter_excludesEntriesOutsideRange()",""
"passed","Sun Aug 09 06:58:43 UTC 2026","Sun Aug 09 06:58:43 UTC 2026","45","","com.branchteller.automation.api.HealthAndCustomersApiTest","","com.branchteller.automation.api.HealthAndCustomersApiTest","customers_returnsAJsonArrayOfCustomerRecords","customers_returnsAJsonArrayOfCustomerRecords()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AmlIntegrationTest","","com.branchteller.service.AmlIntegrationTest","bankingServiceDeposit_atThreshold_createsFlagReferencingTheDepositTransaction","bankingServiceDeposit_atThreshold_createsFlagReferencingTheDepositTransaction()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","5","","com.branchteller.service.GlServicePostTest","","com.branchteller.service.GlServicePostTest","post_validCodes_writesExactlyTwoBalancedLegs","post_validCodes_writesExactlyTwoBalancedLegs()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.docker.DockerInitScriptsTest","","com.branchteller.docker.DockerInitScriptsTest","initdbDirectory_exists","initdbDirectory_exists()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","hash_isDeterministic_forSameInputPasswordAndSalt","hash_isDeterministic_forSameInputPasswordAndSalt()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.model.UserPermissionTest","","com.branchteller.model.UserPermissionTest","newUser_defaultApprovalLimitIs5000","newUser_defaultApprovalLimitIs5000()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","checkComplexity_missingACharacterClass_returnsAReasonMentioningIt","checkComplexity_missingACharacterClass_returnsAReasonMentioningIt(String, String) [4] NoSymbolsHere1, symbol",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","0","","com.branchteller.service.ApprovalServiceTest","","com.branchteller.service.ApprovalServiceTest","amountEqualToLimit_doesNotRequireApproval","amountEqualToLimit_doesNotRequireApproval()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.model.UserPermissionTest","","com.branchteller.model.UserPermissionTest","isManagerOrAbove_matchesExpectedRoleMatrix","isManagerOrAbove_matchesExpectedRoleMatrix(String, boolean) [2] MANAGER, true",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","depositThenWithdraw_updatesBalanceAndCreatesLedgerEntries","depositThenWithdraw_updatesBalanceAndCreatesLedgerEntries()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","34","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","oneAlreadyAccruedAccount_doesNotBlockAFreshAccountInTheSameRun","oneAlreadyAccruedAccount_doesNotBlockAFreshAccountInTheSameRun()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep(String, String, String) [4] 0.01, 100.00, 0.00",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","22","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","accrual_writesAnAuditLogEntry_forInterestAccrued","accrual_writesAnAuditLogEntry_forInterestAccrued()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","4","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","unregisteredRoute_returns404","unregisteredRoute_returns404()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","verify_failsForAWrongPassword","verify_failsForAWrongPassword()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AmlServiceTest","","com.branchteller.service.AmlServiceTest","checkAndFlag_boundaryAmounts_matchExpectedFlagOutcome","checkAndFlag_boundaryAmounts_matchExpectedFlagOutcome(String, boolean) [2] 500.00, false",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.GlServicePostTest","","com.branchteller.service.GlServicePostTest","post_zeroAmount_isANoOp_andNeverTouchesTheConnection","post_zeroAmount_isANoOp_andNeverTouchesTheConnection()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","11","","com.branchteller.service.ApprovalIntegrationTest","","com.branchteller.service.ApprovalIntegrationTest","pending_and_history_listCorrectStatusBuckets","pending_and_history_listCorrectStatusBuckets()",""
"passed","Sun Aug 09 06:58:45 UTC 2026","Sun Aug 09 06:58:45 UTC 2026","48","","REST API","","General ledger trial balance is reachable and returns 200","","General ledger trial balance is reachable and returns 200","  The React web console and any other external client talks to Branch Teller only
  through this HTTP/JSON API, so its routing, CORS, and status codes are contract."
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","3","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","customerOnboarding_pendingCustomerCannotOpenAnAccount","customerOnboarding_pendingCustomerCannotOpenAnAccount()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","0","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","withdraw_nonPositiveAmount_isRejected","withdraw_nonPositiveAmount_isRejected(String) [4] -1",""
"passed","Sun Aug 09 06:58:43 UTC 2026","Sun Aug 09 06:58:43 UTC 2026","23","","com.branchteller.automation.api.AccountAndTransactionApiTest","","com.branchteller.automation.api.AccountAndTransactionApiTest","accountLookup_unknownAccount_returns404WithErrorBody","accountLookup_unknownAccount_returns404WithErrorBody()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","transfer_nonPositiveAmount_isRejected","transfer_nonPositiveAmount_isRejected(String) [4] -1",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","checkComplexity_tooShort_returnsAReason","checkComplexity_tooShort_returnsAReason(String) [2] Ab1!",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","24","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","secondRunForTheSamePeriod_reportsSkippedTrue_andZeroAmount","secondRunForTheSamePeriod_reportsSkippedTrue_andZeroAmount()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","13","","com.branchteller.dao.GlDaoIntegrationTest","","com.branchteller.dao.GlDaoIntegrationTest","ledgerForAccount_returnsLegsInChronologicalOrder","ledgerForAccount_returnsLegsInChronologicalOrder()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","45","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","findByAccountId_returnsAllPeriodsForOneAccount_oldestFirst","findByAccountId_returnsAllPeriodsForOneAccount_oldestFirst()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep(String, String, String) [2] 1500.00, 5.50, 6.88",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","deposit_nonPositiveAmount_isRejected","deposit_nonPositiveAmount_isRejected(String) [1] 0",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","0","","com.branchteller.service.ApprovalServiceTest","","com.branchteller.service.ApprovalServiceTest","requiresApproval_matchesExpectedOutcomeAcrossLimitAmountMatrix","requiresApproval_matchesExpectedOutcomeAcrossLimitAmountMatrix(String, String, boolean) [2] 5000.00, 5000.00, false",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","0","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep(String, String, String) [5] 50000.00, 0.25, 10.42",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","deposit_nonPositiveAmount_isRejected","deposit_nonPositiveAmount_isRejected(String) [3] -100.50",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","5","","com.branchteller.service.AccountsKycIntegrationTest","","com.branchteller.service.AccountsKycIntegrationTest","rejectKyc_onVerifiedCustomer_revokesStatus_butDoesNotAffectAlreadyOpenedAccounts","rejectKyc_onVerifiedCustomer_revokesStatus_butDoesNotAffectAlreadyOpenedAccounts()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","18","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","zeroBalanceAccount_producesNoInterest_evenWithANonZeroRate","zeroBalanceAccount_producesNoInterest_evenWithANonZeroRate()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","27","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","accrual_postsBalancedGlEntries_debitInterestExpense_creditCustomerDeposits","accrual_postsBalancedGlEntries_debitInterestExpense_creditCustomerDeposits()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","46","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","accountLookup_knownAccount_returns200WithBalance","accountLookup_knownAccount_returns200WithBalance()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","generateSalt_isValidBase64","generateSalt_isValidBase64()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.BankingServiceValidationTest","","com.branchteller.service.BankingServiceValidationTest","withdraw_nonPositiveAmount_isRejected","withdraw_nonPositiveAmount_isRejected(String) [2] -0.01",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","9","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","exportDailyReportCsv_writesAccurateHeaderTotalsAndFlagCount","exportDailyReportCsv_writesAccurateHeaderTotalsAndFlagCount()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.InterestServiceTest","","com.branchteller.service.InterestServiceTest","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep","calculateMonthlyInterest_matchesExpectedValueAcrossABoundarySweep(String, String, String) [7] 7.00, 6.00, 0.04",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","2","","com.branchteller.service.AccountsKycIntegrationTest","","com.branchteller.service.AccountsKycIntegrationTest","verifyKyc_onNonexistentCustomer_throwsIllegalArgumentException","verifyKyc_onNonexistentCustomer_throwsIllegalArgumentException()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.GlServicePostTest","","com.branchteller.service.GlServicePostTest","post_nullAmount_isANoOp_andNeverTouchesTheConnection","post_nullAmount_isANoOp_andNeverTouchesTheConnection()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","6","","com.branchteller.service.GlServicePostTest","","com.branchteller.service.GlServicePostTest","post_unknownCreditCode_throwsSqlException","post_unknownCreditCode_throwsSqlException()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","1","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","hash_differsAcrossDifferentPasswords_forTheSameSalt","hash_differsAcrossDifferentPasswords_forTheSameSalt()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","approvalFlow_submitThenReject_leavesBalanceUnchanged","approvalFlow_submitThenReject_leavesBalanceUnchanged()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","3","","com.branchteller.service.EndToEndFlowTest","","com.branchteller.service.EndToEndFlowTest","customerOnboarding_verifiedCustomerCanOpenAnAccount","customerOnboarding_verifiedCustomerCanOpenAnAccount()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","20","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","dailySummary_reflectsRealDepositsPostedThroughBankingService","dailySummary_reflectsRealDepositsPostedThroughBankingService()",""
"passed","Sun Aug 09 06:58:42 UTC 2026","Sun Aug 09 06:58:42 UTC 2026","727","","com.branchteller.automation.api.HealthAndCustomersApiTest","","com.branchteller.automation.api.HealthAndCustomersApiTest","unregisteredRoute_returns404","unregisteredRoute_returns404()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","5","","com.branchteller.service.AmlServiceTest","","com.branchteller.service.AmlServiceTest","checkAndFlag_belowThreshold_neverTouchesTheDatabase","checkAndFlag_belowThreshold_neverTouchesTheDatabase()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","44","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","accountLookup_unknownAccount_returns404","accountLookup_unknownAccount_returns404()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","20","","com.branchteller.service.InterestAccrualIntegrationTest","","com.branchteller.service.InterestAccrualIntegrationTest","rateAppliedOnTheAccrualRecord_matchesTheAccountsRateAtTheTimeOfAccrual","rateAppliedOnTheAccrualRecord_matchesTheAccountsRateAtTheTimeOfAccrual()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","3","","com.branchteller.docker.DockerInitScriptsTest","","com.branchteller.docker.DockerInitScriptsTest","everyScript_isNumberedForDeterministicLoadOrder","everyScript_isNumberedForDeterministicLoadOrder()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","9","","Account lifecycle","","A verified customer can open an account and transact","","A verified customer can open an account and transact","  As a bank branch, money can only move for KYC-verified customers with open accounts,
  withdrawals can never exceed the available balance, large transactions must be flagged
  for AML review, and withdrawals over a teller's limit must go through manager approval."
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","16","","com.branchteller.service.AmlServiceTest","","com.branchteller.service.AmlServiceTest","checkAndFlag_recordsTheGivenAccountAndAmount","checkAndFlag_recordsTheGivenAccountAndAmount()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.ApprovalServiceTest","","com.branchteller.service.ApprovalServiceTest","amountBelowLimit_doesNotRequireApproval","amountBelowLimit_doesNotRequireApproval()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AmlIntegrationTest","","com.branchteller.service.AmlIntegrationTest","bankingServiceDeposit_belowThreshold_createsNoFlag","bankingServiceDeposit_belowThreshold_createsNoFlag()",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","2","","com.branchteller.util.PasswordUtilTest","","com.branchteller.util.PasswordUtilTest","checkComplexity_tooShort_returnsAReason","checkComplexity_tooShort_returnsAReason(String) [3] ",""
"passed","Sun Aug 09 06:58:43 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","69","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","everyResponse_carriesCorsAllowOriginHeader","everyResponse_carriesCorsAllowOriginHeader()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.ReportServiceIntegrationTest","","com.branchteller.service.ReportServiceIntegrationTest","dailySummary_aggregatesMultipleTypesWithCorrectCountsAndTotals_orderedByType","dailySummary_aggregatesMultipleTypesWithCorrectCountsAndTotals_orderedByType()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","4","","com.branchteller.service.AccountsKycIntegrationTest","","com.branchteller.service.AccountsKycIntegrationTest","openAccount_multipleAccountTypesForSameCustomer_allSucceedIndependently","openAccount_multipleAccountTypesForSameCustomer_allSucceedIndependently()",""
"passed","Sun Aug 09 06:58:43 UTC 2026","Sun Aug 09 06:58:43 UTC 2026","11","","com.branchteller.automation.api.HealthAndCustomersApiTest","","com.branchteller.automation.api.HealthAndCustomersApiTest","getOnDepositEndpoint_returns405MethodNotAllowed","getOnDepositEndpoint_returns405MethodNotAllowed()",""
"passed","Sun Aug 09 06:58:41 UTC 2026","Sun Aug 09 06:58:41 UTC 2026","1","","com.branchteller.service.ApprovalServiceTest","","com.branchteller.service.ApprovalServiceTest","requiresApproval_matchesExpectedOutcomeAcrossLimitAmountMatrix","requiresApproval_matchesExpectedOutcomeAcrossLimitAmountMatrix(String, String, boolean) [4] 5000.00, 100000.00, true",""
"passed","Sun Aug 09 06:58:40 UTC 2026","Sun Aug 09 06:58:40 UTC 2026","0","","com.branchteller.model.UserPermissionTest","","com.branchteller.model.UserPermissionTest","newUser_otpRequiredDefaultsToTrue","newUser_otpRequiredDefaultsToTrue()",""
"passed","Sun Aug 09 06:58:44 UTC 2026","Sun Aug 09 06:58:44 UTC 2026","6","","com.branchteller.api.ApiServerIntegrationTest","","com.branchteller.api.ApiServerIntegrationTest","optionsPreflight_onDeposit_returns204WithCorsHeaders","optionsPreflight_onDeposit_returns204WithCorsHeaders()",""
